url,subject,description,owner_id,owner_name,reviewer_id,reviewer_name,cleaned_description
https://review.opendev.org/794283,Enable etcd with security setting.,"Enable etcd with security setting. Add etcd client/server certificate generation process in ansible playbook and restart etcd after etcd security config enabled. Test status. 1) Deployment test on both simplex and duplex - PASS check the communication status between apiserver and etcd by kubectl command check the etcd status and configuration on controllers 2) Switch active controller - PASS After switching, check the communication status between apiserver and etcd by kubectl command check the etcd status and configuration on controllers 3) Lock/unlock of a simplex controller - PASS 4) Backup/Restore test on simplex - PASS 5) Spontaneous reboot of a simplex controller - PASS 6) Enable secured etcd on simplex by script after deploy unsecured etcd. - PASS 7) Backup test on Duplex - PASS 8) Restore test on Duplex - PASS 9) Re-installing a controller host on a duplex setup and then swacting to it - PASS Partial-Bug: 1894870 Depends-on: https://review.opendev.org/#/c/760508/ Change-Id: I88691b84c9acc2e27f0b783d7454a873d3490072 Signed-off-by: Zhipeng Liu <zhipengs.liu@intel.com>",24,Chuck Short,[28570],['zhipeng liu'],enable etcd security setting add etcd clientserver certificate generation process ansible playbook restart etcd etcd security config enabled test status 1 deployment test simplex duplex pass check communication status apiserver etcd kubectl command check etcd status configuration controllers 2 switch active controller pass switching check communication status apiserver etcd kubectl command check etcd status configuration controllers 3 lockunlock simplex controller pass 4 backuprestore test simplex pass 5 spontaneous reboot simplex controller pass 6 enable secured etcd simplex script deploy unsecured etcd pass 7 backup test duplex pass 8 restore test duplex pass 9 reinstalling controller host duplex setup swacting pass partialbug 1894870 dependson httpsreviewopendevorgc760508 changeid i88691b84c9acc2e27f0b783d7454a873d3490072 signedoffby zhipeng liu zhipengsliuintelcom
https://review.opendev.org/789403,Add new Debian security mirror suite pattern,"Add new Debian security mirror suite pattern Starting with Debian 11 (bullseye), security packages are in bullseye-security as opposed to older releases like buster/updates. List the last several stable releases in hopes nobody is trying to use this role to configure platforms older than Debian 8 (jessie, the current ""oldoldstable""). A followup change demonstrates this works in the test-base-roles job, but because the job matrices have to be updated in one fell swoop, and many of those jobs won't work without this change already merged (due to protected use in our base job), it's not tested directly within this change. Change-Id: Ib07269382ce379afc13f1702709a548ad829e663",5263,Jeremy Stanley,[],[],add new debian security mirror suite pattern starting debian 11 bullseye security packages bullseyesecurity opposed older releases like busterupdates list last several stable releases hopes nobody trying use role configure platforms older debian 8 jessie current oldoldstable followup change demonstrates works testbaseroles job job matrices updated one fell swoop many jobs wont work without change already merged due protected use base job tested directly within change changeid ib07269382ce379afc13f1702709a548ad829e663
https://review.opendev.org/741345,Fix rule replacement in security policy,Fix rule replacement in security policy Change-Id: I65918a003833dea45897d360ab7c3ce60616ec4c,24247,Anna Khmelnitsky,[],[],fix rule replacement security policy changeid i65918a003833dea45897d360ab7c3ce60616ec4c
https://review.opendev.org/637381,OvS: Add pod security context to pods,OvS: Add pod security context to pods This PS adds the pod security context snippet to pods Change-Id: I91e89d7798f6e850e47901551c5dc7cf9d80c97f Signed-off-by: Pete Birley <pete@port.direct>,23928,Pete Birley,[22348],['Zuul'],ovs add pod security context pods ps adds pod security context snippet pods changeid i91e89d7798f6e850e47901551c5dc7cf9d80c97f signedoffby pete birley peteportdirect
https://review.opendev.org/615355,Horizon: update east-west network security policy,Horizon: update east-west network security policy This patch set updates the ingress network security policy for the Horizon service. Change-Id: I0a580b5e4e14678f6abc14b58d8de5d3d6172c44,17119,Dmitrii Kabanov,"[20466, 20469, 22348, 22636]","['Tin Lam', 'Tin Lam', 'Zuul', 'Cliff Parsons']",horizon update eastwest network security policy patch set updates ingress network security policy horizon service changeid i0a580b5e4e14678f6abc14b58d8de5d3d6172c44
https://review.opendev.org/738928,Add missing security context to Keystone pods/containers,Implement helm-toolkit snippet to Keystone pods/containers This updates the Keystone chart to include the pod security context on the pod template. This also adds the container security context to set readOnlyRootFilesystem flag to true Change-Id: I334ef187a3dcaa082a5c3a7af63de4386dfbdf04,29144,PRATEEK REDDY DODDA,"[7769, 8863, 8898, 12281, 20466, 21420, 22348, 22477, 23928, 29144, 30777]","['Pentheus', 'Andrii Ostapenko', 'Chris Wedgwood', 'Itxaka', 'Tin Lam', 'Gage Hugo', 'Zuul', 'Matt McEuen', 'Pete Birley', 'PRATEEK REDDY DODDA', 'Steven Fitzpatrick']",implement helmtoolkit snippet keystone podscontainers updates keystone chart include pod security context pod template also adds container security context set readonlyrootfilesystem flag true changeid i334ef187a3dcaa082a5c3a7af63de4386dfbdf04
https://review.opendev.org/739862,Add missing security context to Mini-mirror test pods/containers,Add missing security context to Mini-mirror test pods/containers This updates the mini-mirror chart to include the pod security context on the pod template. This also adds the container security context to set readOnlyRootFilesystem flag to true Change-Id: I5a48b73a6a4530342bacead941128fdec7cc9c42,29144,PRATEEK REDDY DODDA,"[22348, 28372, 29144]","['Zuul', 'chinasubbareddy mallavarapu', 'PRATEEK REDDY DODDA']",add missing security context minimirror test podscontainers updates minimirror chart include pod security context pod template also adds container security context set readonlyrootfilesystem flag true changeid i5a48b73a6a4530342bacead941128fdec7cc9c42
https://review.opendev.org/200847,Enable setting default rules for default security group,"Enable setting default rules for default security group In the current implementation, the default security group only contains the rule that allow intercommunication between vms in a same security-group. However, customers could be confused about that their vms can't use ssh or rdp to login, or can't provide HTTP/HTTPS service to outside since the security group is disabled to these ports by default. To resolve this, we need to allow cloud administrators to set rules of default security group. Blueprint: default-rules-for-default-security-group DocImpact Change-Id: I2610b23c2bd6d2ba5ef9c4800b7e0615b47c46e6",9911,Wei Wang,"[3, 105, 748, 841, 1561, 6788, 7448, 7787, 7805, 8788, 8976, 9656, 9911, 9970, 10980, 11682, 13997, 16707, 17096, 17106]","['Jenkins', 'Kyle Mestery', 'Armando Migliaccio', 'Akihiro Motoki', 'Russell Bryant', 'Rossella Sblendido', 'Carl Baldwin', 'Kevin Benton', 'Li Ma', 'Miguel Angel Ajo', 'shihanzhang', 'Ihar Hrachyshka', 'Wei Wang', 'John Kasperski', 'Doug Wiegley', 'Ryan Moats', 'SHIGEMATSU Mitsuhiro', 'Mohankumar', 'Aditi Rajagopal', 'IanSun']",enable setting default rules default security group current implementation default security group contains rule allow intercommunication vms securitygroup however customers could confused vms cant use ssh rdp login cant provide httphttps service outside since security group disabled ports default resolve need allow cloud administrators set rules default security group blueprint defaultrulesfordefaultsecuritygroup docimpact changeid i2610b23c2bd6d2ba5ef9c4800b7e0615b47c46e6
https://review.opendev.org/242208,Testing.rst misses a step for adding security rule,Testing.rst misses a step for adding security rule Change-Id: Id748be47a85abd4da75e63964edfbd076a2c8ac0 Closes-Bug: #1513553,18465,shravya Gaddam,[],[],testingrst misses step adding security rule changeid id748be47a85abd4da75e63964edfbd076a2c8ac0 closesbug 1513553
https://review.opendev.org/223839,Test security groups.,Test security groups. Install ovs kernel module from source and turn on the sec group tests. Change-Id: I94149e73c5b1339f3b77acff2b74a377daa6f9e0,1561,Russell Bryant,"[3, 1561]","['Jenkins', 'Russell Bryant']",test security groups install ovs kernel module source turn sec group tests changeid i94149e73c5b1339f3b77acff2b74a377daa6f9e0
https://review.opendev.org/136203,Add OSSN-0040 security groups don't work with vip and ovs plugin,Add OSSN-0040 security groups don't work with vip and ovs plugin Closes-Bug: #1163569 Change-Id: I4f554241fd2e18ce29a6a93ed495c8afe539e363,9278,Steven Weston,"[3, 105, 964, 2807, 6772, 6804, 6951, 7063, 7244, 9098, 9278, 10980, 11302, 11716, 12325]","['Jenkins', 'Kyle Mestery', 'Anne Gentle', 'Bryan D. Payne', 'Stephen Gordon', 'bruce-benjamin', 'Brandon Logan', 'Robert Clark', 'Victor Howard', 'Nathan Kinder', 'Steven Weston', 'Doug Wiegley', 'Phillip Toohill', 'Tim Kelsey', 'Nathaniel Dillon']",add ossn0040 security groups dont work vip ovs plugin closesbug 1163569 changeid i4f554241fd2e18ce29a6a93ed495c8afe539e363
https://review.opendev.org/228596,Add security groups dscp spec,"Add security groups dscp spec This adds the spec ""Add a 'dscp' field to security group rules to screen ingress traffic by dscp tag as well as IP address"" to the Mitaka specs directory, to start community discussion. Closes-bug #1498957 Change-Id: I2aa341fd7ba860c62fa16f00ffac3d4e8df4562d",13995,Nate Johnston,"[3, 7244, 11682, 13995, 14033, 17211, 17711]","['Jenkins', 'Victor Howard', 'Ryan Moats', 'Nate Johnston', 'James Reeves', 'Brandon Palm', 'Margaret Frances']",add security groups dscp spec adds spec add dscp field security group rules screen ingress traffic dscp tag well ip address mitaka specs directory start community discussion closesbug 1498957 changeid i2aa341fd7ba860c62fa16f00ffac3d4e8df4562d
https://review.opendev.org/89712,Open vSwitch-based Security Groups: OVS FirewallDriver,Open vSwitch-based Security Groups: OVS FirewallDriver Specification for implementing Open vSwitch-based security groups. Change-Id: I6862d21e6fe967036a301e061f3d56a8ee4ed2a5,6670,Amir Sadoughi,"[3, 105, 261, 333, 2031, 2592, 3185, 4149, 4656, 6670, 6854, 7170, 7787, 7823, 10257, 11604, 11785]","['Jenkins', 'Kyle Mestery', 'Salvatore Orlando', 'Isaku Yamahata', 'Nachi Ueno', 'Mark McClain', 'Alessandro Pilotti', 'Itsuro Oda', 'Sean M. Collins', 'Amir Sadoughi', 'YAMAMOTO Takashi', 'Zang MingJie', 'Kevin Benton', 'Xiang Hui', 'Sridhar Gaddam', 'sean mooney', 'henry.hly']",open vswitchbased security groups ovs firewalldriver specification implementing open vswitchbased security groups changeid i6862d21e6fe967036a301e061f3d56a8ee4ed2a5
https://review.opendev.org/136742,Add security groups for nova.,Add security groups for nova. As current implementation of puppet-nova can't realize nova security groups: 1. Nova security group type and provider implemented 2. Nova security rule type and provider implemented Also new openstack::nova::security class added that implements base functionality of security groups in Fuel. Change-Id: I58372ccfc0e5859b6512ebf785b3df45756dc2d1 Closes-Bug: 1349819,11827,Stanislaw Bogatkin,"[3, 6926, 8786, 8971, 9037, 9387, 11827, 13344, 14774]","['Jenkins', 'Bogdan Dobrelya', 'Vladimir Kuklin', 'Fuel CI', 'Dmitry Ilyin', 'Aleksandr Didenko', 'Stanislaw Bogatkin', 'Oleksiy Molchanov', 'Fuel TPI CI']",add security groups nova current implementation puppetnova cant realize nova security groups 1 nova security group type provider implemented 2 nova security rule type provider implemented also new openstacknovasecurity class added implements base functionality security groups fuel changeid i58372ccfc0e5859b6512ebf785b3df45756dc2d1 closesbug 1349819
https://review.opendev.org/209900,Add security to libvirtd,Add security to libvirtd Allow libvirt to be accessed only from management network Change-Id: Ie1ae2e3e91967179c5cf9e9bf54863369071d572 Closes-Bug: 1477543,13344,Oleksiy Molchanov,"[3, 6926, 8971]","['Jenkins', 'Bogdan Dobrelya', 'Fuel CI']",add security libvirtd allow libvirt accessed management network changeid ie1ae2e3e91967179c5cf9e9bf54863369071d572 closesbug 1477543
https://review.opendev.org/209901,Add security to libvirtd,Add security to libvirtd Allow libvirt to be accessed only from management network Change-Id: Ie1ae2e3e91967179c5cf9e9bf54863369071d572 Closes-Bug: 1477543,13344,Oleksiy Molchanov,"[3, 6926, 8971]","['Jenkins', 'Bogdan Dobrelya', 'Fuel CI']",add security libvirtd allow libvirt accessed management network changeid ie1ae2e3e91967179c5cf9e9bf54863369071d572 closesbug 1477543
https://review.opendev.org/209903,Add security to libvirtd,Add security to libvirtd Allow libvirt to be accessed only from management network Change-Id: Ie1ae2e3e91967179c5cf9e9bf54863369071d572 Closes-Bug: 1477543,13344,Oleksiy Molchanov,"[3, 6926, 8971]","['Jenkins', 'Bogdan Dobrelya', 'Fuel CI']",add security libvirtd allow libvirt accessed management network changeid ie1ae2e3e91967179c5cf9e9bf54863369071d572 closesbug 1477543
